subject_formality_score,sender_relationship_score,email_type
-1.496789653640136,0.7792582154539458,0
-1.2176097772068422,0.8896010426115968,0
-0.3759451837541914,-0.8233243496454854,1
0.6396091725783393,-0.3628266826041836,1
-1.3428359447519342,-1.040501885203425,1
-2.4282893464997954,-1.5517024122275322,1
-0.4215910121701082,-0.7476076780879697,1
-0.759905362225221,-0.8055803924177185,1
-0.746121572260747,-0.9068342541875204,1
-2.3690673262766664,-1.6667076997773074,1
-0.4657405991400198,-0.7697156179015675,1
-1.0336788940443904,1.2689318801793137,0
-1.4689828138652985,-1.625828164266378,1
-1.7977188574587568,-1.7039823741339335,1
-0.8858473676332665,-1.0407050890042462,1
-1.2709046449781272,0.8794197328616751,0
-1.0300007482232474,0.8031449596586562,0
-1.0910303422420464,1.4577080868711652,0
-1.6114973434409705,-1.4487243125878522,1
-1.829661382391012,-1.093625072542142,1
-0.8557423429664878,1.0451915563503884,0
0.008916847005838,-0.3445804734967624,1
-1.3057015633718017,1.0719486157617306,0
-1.1253737711614682,1.0026625453813776,0
-2.160429818880241,-1.4431398146312024,1
-3.493919305442617,-2.218219453193031,1
-2.4942906674090217,-1.395040901889595,1
0.62911202282689,-0.6541925446356345,1
-0.3947911431512579,-1.25996846789133,1
-1.0117875961812186,1.2375241885426511,0
-2.25860610731805,-1.749313683846358,1
-1.7206151034840684,-1.5512729441340036,1
-0.619749977425152,-1.1879050767708397,1
-1.5453466272448555,-1.7479875425415503,1
-1.114914233928692,-1.3514238243117265,1
-0.9181504350478744,1.1507453384036217,0
0.4418059933055787,-0.4628748812321632,1
-0.9011208200208464,0.8641211514353397,0
-0.8156796567187451,0.8010276056487657,0
-0.6639314252912403,-1.1188301541459202,1
0.3373668187481069,-0.7592435929741674,1
-1.39690520078606,-1.0257270520999655,1
-0.6967343083499891,1.045828147045144,0
-0.9562057284143732,1.057679035932675,0
-0.9010625977912036,1.0478619433650112,0
-1.149864397008625,1.2528188207809856,0
-1.151029510242058,0.7847576466794347,0
-0.6053477646248053,-0.5713543469292373,1
-0.7557709560315077,0.6035386217251242,0
-0.9739682006007712,1.2088032931845485,0
-2.0737163073259186,-1.4740878160762756,1
-0.8104845563635263,-0.7446510751570206,1
-0.9755030932763984,0.7797329675083018,0
-0.7389956627263964,1.1718760715723944,0
-0.3232795533364818,-0.0259143631981674,1
-1.9425303323290612,-0.8114522950473391,1
-1.0004955149246262,0.9454063807141934,0
-1.0442336759436517,1.1632154832192327,0
-0.4683422435993805,0.8549141675234467,0
-0.8791214116099679,1.0234036236274024,0
-1.7750321617642908,-1.2274647975197497,1
0.2954400802419437,-0.2505881596137899,1
-1.4161073294026505,-1.0333531581711732,1
-0.8956914815767305,1.1934043657615552,0
-0.7311823068765713,-0.9969524850820216,1
-1.0188576475937583,1.057050611848693,0
-0.902028327975051,0.7535758275642006,0
-0.8556376374680102,0.6316407297757972,0
-2.268691149988668,-1.6307328726153458,1
-0.8231548230527301,1.0518394471528991,0
-0.2847471156208324,-1.0586091708961425,1
-1.0328491939721174,1.0973398377124337,0
-1.1545690356482448,1.1589386626250646,0
-1.207878803119839,0.8728932949474452,0
0.371193132428969,-0.2529240171626682,1
-1.2576160064609925,0.9170676705523116,0
-2.0250480752174846,-1.530384887030332,1
-0.971071048917478,0.8467298733586069,0
-1.140365112601061,0.947296346796946,0
